Transaction_ID,itemDescription
1,Bread
1,Rice
2,Flour
2,Sugar
2,Butter
3,Eggs
3,Biscuits
3,Shampoo
3,Milk
3,Bread
3,Beer
4,Flour
4,Beer
4,Bread
5,Coffee
5,Diapers
5,Shampoo
5,Flour
5,Toothpaste
5,Beans
6,Bread
6,Tea
6,Shampoo
6,Cooking Oil
7,Sugar
7,Coffee
7,Cooking Oil
7,Butter
8,Soap
8,Butter
9,Salt
9,Rice
9,Milk
9,Toothpaste
10,Butter
10,Soap
10,Eggs
10,Beans
10,Salt
10,Beer
11,Eggs
11,Milk
11,Flour
12,Eggs
12,Flour
12,Butter
12,Soap
13,Toothpaste
13,Salt
13,Tea
13,Biscuits
14,Coffee
14,Rice
14,Eggs
14,Tea
15,Flour
15,Tea
15,Toothpaste
15,Soap
15,Rice
15,Diapers
16,Flour
16,Cooking Oil
16,Milk
16,Cereal
16,Diapers
16,Soap
17,Soap
17,Rice
17,Eggs
17,Coffee
18,Cooking Oil
18,Coffee
18,Soda
18,Soap
18,Toothpaste
18,Eggs
19,Sugar
19,Flour
19,Diapers
19,Rice
20,Shampoo
20,Biscuits
20,Soap
20,Salt
20,Flour
20,Eggs
21,Soda
21,Eggs
21,Milk
21,Butter
21,Sugar
21,Cooking Oil
22,Shampoo
22,Eggs
22,Soap
23,Cereal
23,Toothpaste
23,Beer
23,Rice
23,Bread
24,Diapers
24,Rice
25,Butter
25,Beans
25,Shampoo
25,Tea
26,Bread
26,Rice
26,Beer
26,Tea
26,Butter
27,Beer
27,Coffee
27,Sugar
27,Salt
28,Diapers
28,Beer
28,Bread
29,Cooking Oil
29,Soda
29,Bread
29,Butter
29,Salt
29,Toothpaste
30,Flour
30,Milk
30,Cereal
30,Eggs
31,Soda
31,Eggs
32,Sugar
32,Cereal
32,Soda
32,Tea
32,Rice
32,Diapers
33,Shampoo
33,Coffee
33,Diapers
33,Biscuits
33,Beans
33,Beer
34,Toothpaste
34,Beer
34,Cereal
34,Butter
35,Flour
35,Eggs
35,Cooking Oil
36,Biscuits
36,Diapers
37,Biscuits
37,Flour
37,Bread
38,Milk
38,Flour
39,Milk
39,Cooking Oil
40,Beer
40,Flour
41,Soda
41,Coffee
41,Diapers
41,Sugar
42,Biscuits
42,Soda
42,Flour
42,Cereal
42,Shampoo
42,Butter
43,Butter
43,Shampoo
44,Shampoo
44,Cereal
44,Toothpaste
44,Milk
45,Milk
45,Soap
46,Butter
46,Flour
46,Coffee
46,Diapers
47,Toothpaste
47,Sugar
47,Shampoo
47,Tea
47,Rice
47,Flour
48,Eggs
48,Toothpaste
48,Diapers
49,Milk
49,Diapers
50,Eggs
50,Flour
51,Shampoo
51,Soda
51,Biscuits
52,Soap
52,Milk
52,Tea
53,Bread
53,Soap
53,Rice
53,Toothpaste
53,Beans
54,Diapers
54,Soda
54,Sugar
54,Coffee
54,Beans
55,Milk
55,Biscuits
55,Diapers
56,Cooking Oil
56,Milk
57,Biscuits
57,Soda
58,Beer
58,Tea
58,Milk
58,Cereal
58,Eggs
58,Shampoo
59,Eggs
59,Cereal
59,Flour
60,Butter
60,Biscuits
60,Flour
60,Milk
60,Eggs
61,Biscuits
61,Cereal
61,Beer
61,Cooking Oil
61,Rice
62,Cooking Oil
62,Flour
62,Rice
63,Sugar
63,Beans
63,Toothpaste
63,Cooking Oil
63,Eggs
64,Toothpaste
64,Biscuits
65,Eggs
65,Diapers
66,Beer
66,Rice
66,Sugar
67,Eggs
67,Flour
67,Salt
67,Beans
68,Toothpaste
68,Diapers
68,Beans
69,Beer
69,Bread
69,Diapers
69,Beans
69,Butter
69,Toothpaste
70,Rice
70,Butter
70,Biscuits
71,Sugar
71,Rice
71,Beans
71,Coffee
71,Cooking Oil
71,Butter
72,Beer
72,Soda
72,Rice
72,Milk
73,Shampoo
73,Rice
74,Bread
74,Cooking Oil
75,Rice
75,Tea
75,Toothpaste
76,Shampoo
76,Diapers
76,Bread
76,Butter
76,Eggs
76,Toothpaste
77,Diapers
77,Milk
77,Salt
78,Diapers
78,Sugar
78,Shampoo
78,Biscuits
78,Milk
78,Beer
79,Milk
79,Salt
79,Coffee
79,Flour
80,Salt
80,Diapers
81,Cereal
81,Sugar
81,Flour
81,Tea
81,Beer
82,Bread
82,Tea
82,Cooking Oil
82,Shampoo
82,Flour
83,Tea
83,Butter
83,Soap
83,Milk
84,Flour
84,Coffee
84,Toothpaste
84,Salt
84,Beans
85,Flour
85,Bread
85,Coffee
86,Cooking Oil
86,Rice
86,Eggs
86,Biscuits
86,Salt
87,Soap
87,Diapers
87,Cooking Oil
87,Bread
87,Butter
87,Toothpaste
88,Tea
88,Biscuits
88,Rice
88,Milk
89,Cereal
89,Shampoo
90,Cooking Oil
90,Shampoo
90,Beer
90,Butter
91,Biscuits
91,Coffee
91,Rice
91,Milk
91,Shampoo
92,Beer
92,Diapers
93,Salt
93,Shampoo
93,Eggs
94,Cereal
94,Cooking Oil
94,Butter
94,Beans
95,Beans
95,Shampoo
95,Cooking Oil
95,Soap
95,Cereal
95,Rice
96,Coffee
96,Shampoo
96,Soap
97,Cereal
97,Biscuits
97,Beans
98,Diapers
98,Bread
98,Beans
98,Cereal
98,Coffee
99,Biscuits
99,Cooking Oil
99,Toothpaste
99,Diapers
99,Beer
100,Beer
100,Soda
100,Tea
101,Beans
101,Beer
102,Cooking Oil
102,Eggs
102,Flour
102,Beans
102,Diapers
102,Soap
103,Sugar
103,Bread
103,Milk
104,Soda
104,Eggs
104,Toothpaste
105,Biscuits
105,Coffee
105,Soap
105,Soda
105,Diapers
106,Sugar
106,Bread
106,Butter
107,Flour
107,Tea
107,Beer
107,Toothpaste
107,Milk
108,Flour
108,Butter
108,Toothpaste
108,Sugar
108,Diapers
108,Cooking Oil
109,Diapers
109,Cooking Oil
109,Toothpaste
109,Beer
109,Shampoo
109,Soda
110,Toothpaste
110,Tea
110,Soda
110,Cereal
110,Rice
110,Soap
111,Rice
111,Beer
111,Soda
112,Rice
112,Toothpaste
112,Eggs
113,Flour
113,Rice
113,Cooking Oil
113,Diapers
114,Eggs
114,Sugar
114,Biscuits
114,Flour
114,Soap
114,Salt
115,Coffee
115,Eggs
115,Shampoo
116,Cooking Oil
116,Diapers
116,Toothpaste
116,Shampoo
116,Milk
117,Shampoo
117,Soap
117,Bread
118,Soap
118,Soda
118,Bread
118,Salt
118,Beans
118,Cereal
119,Shampoo
119,Diapers
119,Biscuits
119,Flour
119,Soda
120,Rice
120,Shampoo
120,Soda
121,Soap
121,Cooking Oil
122,Tea
122,Toothpaste
122,Sugar
122,Bread
122,Soap
123,Biscuits
123,Bread
123,Eggs
123,Shampoo
123,Sugar
123,Beer
124,Tea
124,Milk
124,Rice
124,Soap
124,Cooking Oil
125,Toothpaste
125,Cooking Oil
125,Biscuits
126,Rice
126,Shampoo
126,Cereal
126,Eggs
126,Soda
127,Diapers
127,Milk
128,Flour
128,Eggs
128,Milk
128,Bread
129,Coffee
129,Bread
129,Sugar
130,Sugar
130,Soda
130,Butter
131,Coffee
131,Toothpaste
131,Rice
131,Salt
131,Tea
131,Beans
132,Butter
132,Tea
132,Beans
132,Cereal
132,Bread
132,Toothpaste
133,Biscuits
133,Soap
133,Cereal
133,Coffee
134,Biscuits
134,Flour
135,Beans
135,Butter
136,Milk
136,Salt
136,Diapers
136,Shampoo
136,Biscuits
136,Cereal
137,Cooking Oil
137,Bread
137,Shampoo
137,Soda
137,Butter
137,Coffee
138,Toothpaste
138,Sugar
138,Shampoo
138,Tea
139,Rice
139,Diapers
139,Soda
139,Toothpaste
139,Shampoo
139,Biscuits
140,Rice
140,Cooking Oil
140,Flour
140,Eggs
140,Cereal
140,Toothpaste
141,Flour
141,Toothpaste
141,Soap
141,Cooking Oil
141,Bread
142,Cooking Oil
142,Tea
142,Soda
142,Coffee
142,Salt
143,Cooking Oil
143,Rice
143,Biscuits
143,Bread
144,Coffee
144,Eggs
144,Flour
144,Shampoo
144,Soda
144,Rice
145,Soda
145,Cereal
145,Toothpaste
146,Eggs
146,Beans
147,Soap
147,Flour
147,Beans
148,Salt
148,Soda
148,Diapers
148,Beer
148,Cereal
148,Coffee
149,Cooking Oil
149,Salt
149,Toothpaste
149,Rice
149,Beans
149,Sugar
150,Butter
150,Coffee
150,Cooking Oil
151,Diapers
151,Tea
152,Coffee
152,Soda
152,Rice
153,Beer
153,Beans
153,Butter
153,Coffee
153,Biscuits
153,Diapers
154,Tea
154,Beans
154,Bread
154,Sugar
155,Milk
155,Cereal
155,Diapers
155,Beans
156,Soda
156,Butter
156,Bread
157,Beans
157,Soda
157,Biscuits
157,Toothpaste
157,Cooking Oil
157,Eggs
158,Rice
158,Soda
159,Eggs
159,Soap
160,Eggs
160,Biscuits
160,Milk
160,Sugar
160,Beer
161,Beans
161,Eggs
161,Flour
161,Butter
161,Shampoo
161,Cereal
162,Cereal
162,Flour
162,Beer
162,Soap
162,Toothpaste
162,Soda
163,Beans
163,Biscuits
163,Shampoo
163,Cereal
163,Milk
164,Butter
164,Coffee
164,Biscuits
164,Rice
164,Eggs
164,Soda
165,Tea
165,Diapers
165,Eggs
166,Bread
166,Shampoo
166,Toothpaste
167,Soda
167,Beans
167,Milk
167,Flour
167,Biscuits
167,Salt
168,Toothpaste
168,Eggs
168,Flour
168,Rice
169,Coffee
169,Shampoo
169,Butter
169,Flour
169,Sugar
169,Toothpaste
170,Sugar
170,Eggs
170,Milk
170,Tea
171,Cereal
171,Biscuits
171,Beans
171,Toothpaste
172,Toothpaste
172,Beans
173,Rice
173,Beer
173,Diapers
173,Soda
173,Toothpaste
174,Cereal
174,Milk
175,Cooking Oil
175,Rice
175,Bread
175,Eggs
175,Flour
176,Biscuits
176,Bread
176,Rice
176,Milk
176,Tea
176,Flour
177,Toothpaste
177,Rice
177,Tea
177,Shampoo
177,Soda
177,Milk
178,Salt
178,Shampoo
178,Cooking Oil
178,Diapers
178,Butter
179,Cooking Oil
179,Shampoo
179,Soda
180,Soap
180,Diapers
180,Milk
180,Toothpaste
181,Cooking Oil
181,Rice
182,Butter
182,Soap
182,Beer
182,Bread
183,Toothpaste
183,Shampoo
183,Milk
183,Coffee
183,Salt
183,Beans
184,Toothpaste
184,Milk
184,Coffee
184,Rice
184,Sugar
185,Toothpaste
185,Soda
185,Butter
185,Bread
186,Flour
186,Tea
186,Beans
186,Bread
186,Shampoo
186,Milk
187,Butter
187,Toothpaste
187,Cereal
188,Soda
188,Beans
188,Beer
189,Shampoo
189,Soda
189,Biscuits
189,Flour
190,Diapers
190,Sugar
190,Soap
190,Coffee
190,Biscuits
191,Rice
191,Shampoo
192,Beer
192,Rice
192,Bread
192,Beans
193,Biscuits
193,Cereal
193,Soda
193,Sugar
194,Diapers
194,Soda
194,Salt
194,Cooking Oil
194,Soap
195,Cooking Oil
195,Coffee
195,Flour
195,Soap
195,Diapers
196,Milk
196,Cooking Oil
196,Soda
196,Soap
196,Beer
197,Soda
197,Milk
197,Sugar
198,Biscuits
198,Cooking Oil
198,Butter
198,Toothpaste
198,Diapers
198,Rice
199,Bread
199,Sugar
199,Shampoo
199,Biscuits
199,Eggs
200,Rice
200,Cooking Oil
200,Soap
200,Eggs
200,Biscuits
201,Soap
201,Cooking Oil
201,Soda
201,Milk
201,Eggs
201,Butter
202,Flour
202,Eggs
202,Shampoo
202,Butter
203,Toothpaste
203,Tea
204,Bread
204,Milk
204,Cooking Oil
204,Biscuits
205,Salt
205,Cereal
205,Shampoo
205,Sugar
206,Beer
206,Shampoo
206,Tea
207,Tea
207,Eggs
207,Soap
208,Flour
208,Soda
208,Sugar
208,Cereal
208,Toothpaste
208,Cooking Oil
209,Toothpaste
209,Rice
209,Bread
209,Cereal
210,Diapers
210,Tea
210,Eggs
210,Toothpaste
211,Biscuits
211,Beans
211,Shampoo
211,Rice
212,Beans
212,Coffee
212,Soap
212,Soda
212,Butter
213,Soap
213,Biscuits
213,Salt
214,Beans
214,Cereal
214,Bread
214,Soap
214,Rice
214,Diapers
215,Milk
215,Soda
215,Beans
215,Flour
215,Salt
215,Butter
216,Cereal
216,Rice
216,Sugar
217,Milk
217,Beans
218,Milk
218,Biscuits
218,Salt
218,Sugar
218,Eggs
219,Cooking Oil
219,Shampoo
219,Tea
219,Coffee
220,Diapers
220,Salt
220,Beer
221,Rice
221,Tea
221,Cereal
221,Soda
221,Beans
221,Salt
222,Butter
222,Toothpaste
222,Eggs
222,Sugar
223,Soap
223,Diapers
223,Salt
224,Soap
224,Bread
225,Diapers
225,Butter
225,Toothpaste
225,Salt
226,Biscuits
226,Soap
226,Salt
226,Butter
227,Soda
227,Bread
227,Diapers
228,Cereal
228,Flour
228,Eggs
228,Toothpaste
229,Shampoo
229,Butter
229,Sugar
229,Milk
230,Beans
230,Soda
231,Butter
231,Flour
232,Sugar
232,Soap
232,Toothpaste
232,Salt
232,Shampoo
232,Beans
233,Shampoo
233,Butter
233,Soda
234,Shampoo
234,Rice
234,Milk
234,Salt
234,Coffee
234,Flour
235,Flour
235,Salt
235,Butter
235,Biscuits
235,Beer
236,Soap
236,Rice
237,Butter
237,Toothpaste
237,Eggs
238,Cereal
238,Bread
238,Milk
239,Flour
239,Sugar
239,Coffee
239,Eggs
240,Coffee
240,Biscuits
240,Cereal
240,Flour
240,Cooking Oil
240,Soap
241,Cereal
241,Bread
241,Rice
242,Sugar
242,Diapers
242,Rice
243,Butter
243,Bread
243,Sugar
244,Salt
244,Flour
245,Cooking Oil
245,Bread
245,Tea
245,Rice
245,Milk
245,Eggs
246,Beer
246,Butter
246,Eggs
246,Soda
246,Toothpaste
247,Beer
247,Biscuits
247,Butter
247,Toothpaste
248,Flour
248,Milk
248,Beer
248,Beans
248,Toothpaste
248,Cooking Oil
249,Milk
249,Soda
250,Shampoo
250,Butter
250,Soda
250,Toothpaste
250,Eggs
251,Cooking Oil
251,Sugar
252,Sugar
252,Rice
253,Biscuits
253,Diapers
253,Cooking Oil
253,Soap
253,Beans
253,Flour
254,Cereal
254,Shampoo
254,Butter
254,Diapers
254,Coffee
254,Soda
255,Flour
255,Shampoo
255,Cooking Oil
255,Toothpaste
255,Soap
256,Butter
256,Cooking Oil
256,Shampoo
256,Biscuits
256,Rice
257,Sugar
257,Soda
257,Eggs
257,Diapers
258,Eggs
258,Shampoo
259,Salt
259,Sugar
260,Milk
260,Biscuits
260,Diapers
260,Cooking Oil
260,Butter
260,Coffee
261,Shampoo
261,Milk
261,Beans
261,Diapers
262,Butter
262,Biscuits
262,Beer
262,Coffee
263,Soda
263,Flour
263,Butter
264,Diapers
264,Salt
264,Butter
264,Rice
265,Flour
265,Shampoo
265,Diapers
265,Bread
265,Rice
265,Beer
266,Rice
266,Beans
266,Cooking Oil
267,Bread
267,Tea
267,Sugar
267,Soap
268,Sugar
268,Bread
269,Beer
269,Coffee
270,Shampoo
270,Toothpaste
270,Cooking Oil
270,Tea
270,Salt
271,Cooking Oil
271,Biscuits
271,Eggs
271,Milk
272,Tea
272,Milk
272,Eggs
273,Toothpaste
273,Shampoo
273,Soda
273,Cereal
274,Rice
274,Coffee
274,Beer
274,Butter
274,Salt
275,Butter
275,Beans
275,Soda
275,Beer
275,Biscuits
276,Flour
276,Soap
277,Milk
277,Bread
277,Coffee
277,Beans
277,Diapers
277,Soap
278,Rice
278,Beans
278,Cooking Oil
279,Bread
279,Soda
280,Tea
280,Sugar
280,Soap
280,Flour
280,Salt
281,Soap
281,Milk
282,Bread
282,Toothpaste
282,Eggs
282,Cooking Oil
282,Shampoo
283,Soap
283,Shampoo
283,Beans
283,Butter
283,Cereal
283,Bread
284,Tea
284,Toothpaste
284,Salt
284,Eggs
285,Butter
285,Flour
285,Shampoo
285,Soap
285,Eggs
286,Beans
286,Cooking Oil
286,Flour
286,Biscuits
286,Tea
287,Beer
287,Butter
288,Beer
288,Coffee
288,Salt
288,Diapers
288,Sugar
288,Butter
289,Sugar
289,Rice
290,Tea
290,Sugar
290,Eggs
291,Soda
291,Toothpaste
291,Biscuits
292,Cereal
292,Cooking Oil
292,Biscuits
292,Sugar
292,Toothpaste
292,Milk
293,Toothpaste
293,Beans
293,Rice
293,Milk
293,Salt
294,Eggs
294,Beans
294,Toothpaste
294,Diapers
294,Milk
294,Bread
295,Beans
295,Eggs
295,Biscuits
295,Beer
296,Toothpaste
296,Biscuits
296,Diapers
296,Milk
296,Cereal
297,Coffee
297,Cooking Oil
297,Soda
297,Beer
297,Sugar
297,Bread
298,Butter
298,Cooking Oil
298,Eggs
298,Beer
298,Tea
299,Flour
299,Toothpaste
300,Beer
300,Cereal
300,Tea
300,Salt
300,Biscuits
301,Soap
301,Shampoo
301,Cooking Oil
301,Milk
302,Eggs
302,Cooking Oil
302,Butter
302,Soap
303,Rice
303,Sugar
303,Cooking Oil
303,Eggs
304,Sugar
304,Salt
304,Beans
304,Soap
304,Cereal
304,Diapers
305,Beans
305,Diapers
306,Cooking Oil
306,Sugar
306,Beer
306,Eggs
306,Shampoo
307,Salt
307,Bread
307,Cereal
307,Beans
307,Tea
307,Butter
308,Soda
308,Coffee
308,Flour
308,Sugar
309,Eggs
309,Beans
309,Butter
310,Diapers
310,Beer
310,Milk
310,Cooking Oil
310,Sugar
310,Beans
311,Sugar
311,Tea
311,Biscuits
311,Diapers
311,Toothpaste
312,Shampoo
312,Salt
313,Toothpaste
313,Beans
313,Cereal
314,Diapers
314,Flour
314,Beans
315,Coffee
315,Salt
315,Toothpaste
315,Diapers
315,Beans
316,Beer
316,Cereal
316,Shampoo
316,Tea
316,Coffee
317,Sugar
317,Rice
317,Milk
317,Soda
317,Salt
317,Biscuits
318,Beer
318,Butter
319,Eggs
319,Tea
319,Rice
319,Toothpaste
320,Sugar
320,Shampoo
320,Eggs
320,Flour
320,Toothpaste
320,Soda
321,Bread
321,Shampoo
321,Milk
321,Soap
322,Salt
322,Flour
322,Soap
322,Eggs
322,Cereal
322,Butter
323,Cooking Oil
323,Butter
324,Sugar
324,Cereal
324,Milk
324,Beans
325,Sugar
325,Soda
325,Toothpaste
325,Bread
325,Eggs
326,Rice
326,Coffee
327,Diapers
327,Beer
327,Shampoo
328,Beans
328,Flour
329,Butter
329,Milk
329,Flour
329,Shampoo
330,Toothpaste
330,Eggs
330,Butter
330,Soda
330,Bread
330,Cooking Oil
331,Biscuits
331,Flour
331,Sugar
331,Beans
331,Shampoo
331,Bread
332,Salt
332,Flour
332,Shampoo
332,Tea
332,Eggs
332,Rice
333,Eggs
333,Beer
333,Diapers
333,Biscuits
334,Diapers
334,Bread
334,Soap
334,Soda
334,Milk
334,Cooking Oil
335,Salt
335,Rice
335,Bread
335,Cereal
335,Eggs
336,Flour
336,Butter
336,Cooking Oil
336,Sugar
337,Salt
337,Diapers
338,Tea
338,Toothpaste
338,Soda
338,Cereal
339,Eggs
339,Toothpaste
339,Milk
340,Coffee
340,Milk
340,Cereal
340,Biscuits
341,Beans
341,Beer
341,Soap
341,Soda
342,Milk
342,Coffee
342,Beans
342,Salt
343,Cooking Oil
343,Rice
344,Salt
344,Shampoo
345,Toothpaste
345,Soap
345,Cooking Oil
345,Tea
345,Soda
346,Salt
346,Beer
346,Rice
346,Eggs
346,Shampoo
347,Shampoo
347,Tea
348,Beans
348,Cooking Oil
348,Butter
348,Eggs
348,Biscuits
348,Soda
349,Beans
349,Toothpaste
349,Shampoo
349,Tea
350,Salt
350,Toothpaste
350,Milk
350,Cereal
350,Shampoo
351,Milk
351,Eggs
351,Soap
351,Salt
352,Tea
352,Bread
352,Sugar
352,Toothpaste
352,Milk
352,Eggs
353,Flour
353,Salt
354,Soap
354,Biscuits
354,Milk
354,Sugar
355,Salt
355,Cereal
355,Toothpaste
355,Eggs
355,Sugar
356,Salt
356,Soap
356,Cooking Oil
356,Rice
356,Flour
356,Milk
357,Tea
357,Soda
358,Soap
358,Diapers
358,Butter
358,Rice
358,Beer
358,Salt
359,Coffee
359,Beans
359,Soda
359,Cereal
359,Butter
360,Eggs
360,Toothpaste
360,Tea
361,Eggs
361,Cooking Oil
361,Salt
361,Cereal
361,Beans
362,Tea
362,Cereal
362,Salt
362,Beer
363,Butter
363,Coffee
363,Sugar
364,Soda
364,Bread
364,Salt
365,Biscuits
365,Salt
365,Toothpaste
365,Sugar
365,Eggs
365,Milk
366,Soap
366,Soda
366,Beer
366,Shampoo
367,Biscuits
367,Eggs
367,Sugar
367,Cooking Oil
367,Cereal
368,Toothpaste
368,Beer
368,Salt
368,Sugar
368,Tea
369,Shampoo
369,Beer
369,Milk
370,Beer
370,Sugar
371,Tea
371,Cereal
371,Cooking Oil
371,Flour
372,Beer
372,Beans
372,Eggs
372,Rice
373,Diapers
373,Rice
373,Sugar
374,Cereal
374,Diapers
374,Eggs
374,Beer
375,Biscuits
375,Cereal
375,Sugar
376,Cereal
376,Cooking Oil
376,Milk
377,Eggs
377,Milk
378,Rice
378,Coffee
378,Shampoo
378,Bread
378,Soda
378,Toothpaste
379,Beans
379,Cereal
379,Soda
379,Flour
379,Soap
379,Sugar
380,Eggs
380,Milk
380,Tea
380,Toothpaste
380,Shampoo
381,Toothpaste
381,Coffee
381,Cooking Oil
381,Sugar
381,Diapers
382,Salt
382,Soap
382,Sugar
382,Cereal
383,Diapers
383,Butter
383,Cooking Oil
383,Flour
383,Toothpaste
383,Milk
384,Toothpaste
384,Flour
384,Sugar
384,Butter
385,Beans
385,Soap
386,Shampoo
386,Flour
386,Tea
386,Cooking Oil
386,Beer
386,Butter
387,Soda
387,Beer
387,Toothpaste
388,Beans
388,Soda
388,Bread
388,Eggs
388,Soap
389,Toothpaste
389,Flour
389,Coffee
389,Salt
389,Milk
389,Bread
390,Soda
390,Cereal
390,Beans
390,Bread
391,Shampoo
391,Sugar
392,Salt
392,Soap
392,Cereal
392,Milk
393,Milk
393,Biscuits
393,Diapers
393,Coffee
393,Salt
394,Beans
394,Eggs
394,Soap
394,Beer
394,Toothpaste
394,Diapers
395,Rice
395,Butter
395,Sugar
395,Biscuits
395,Soap
395,Tea
396,Diapers
396,Salt
396,Sugar
396,Coffee
397,Beer
397,Soap
397,Cereal
397,Milk
397,Diapers
397,Bread
398,Cooking Oil
398,Soda
398,Beer
399,Sugar
399,Beer
399,Cereal
399,Cooking Oil
399,Biscuits
400,Soap
400,Beans
400,Cooking Oil
401,Beer
401,Diapers
401,Soda
401,Beans
401,Biscuits
401,Shampoo
402,Salt
402,Cooking Oil
403,Shampoo
403,Biscuits
404,Bread
404,Soda
404,Rice
404,Flour
405,Biscuits
405,Soda
406,Beer
406,Soap
406,Sugar
407,Milk
407,Biscuits
407,Butter
408,Bread
408,Toothpaste
408,Cooking Oil
409,Sugar
409,Shampoo
409,Coffee
409,Biscuits
409,Soda
410,Sugar
410,Beer
411,Diapers
411,Cooking Oil
411,Soda
412,Soap
412,Cooking Oil
412,Tea
412,Toothpaste
412,Biscuits
412,Rice
413,Rice
413,Soda
413,Coffee
413,Flour
414,Diapers
414,Beans
414,Flour
414,Biscuits
415,Coffee
415,Soda
415,Cooking Oil
415,Biscuits
416,Diapers
416,Rice
416,Beans
416,Butter
417,Diapers
417,Soap
417,Biscuits
417,Salt
417,Sugar
417,Soda
418,Beans
418,Eggs
419,Toothpaste
419,Rice
419,Soda
419,Coffee
420,Diapers
420,Rice
